entries=2233
i,zai,name
345,280640,Ni64
346,280650,Ni65
347,280660,Ni66
348,280670,Ni67
349,280680,Ni68
350,280690,Ni69
351,280691,Ni69m
352,280700,Ni70
353,280710,Ni71
354,290560,Cu56
355,290570,Cu57
356,290580,Cu58
357,290590,Cu59
358,290600,Cu60
359,290610,Cu61
360,290620,Cu62
361,290630,Cu63
362,290640,Cu64
363,290650,Cu65
364,290660,Cu66
365,290670,Cu67
366,290680,Cu68
367,290681,Cu68m
368,290690,Cu69
369,290700,Cu70
370,290701,Cu70m
371,290702,Cu70n
372,290710,Cu71
373,290720,Cu72
374,290730,Cu73
375,290740,Cu74
376,290750,Cu75
377,300580,Zn58
378,300590,Zn59
379,300600,Zn60
380,300610,Zn61
381,300620,Zn62
382,300630,Zn63
383,300640,Zn64
384,300650,Zn65
385,300660,Zn66
386,300670,Zn67
387,300680,Zn68
388,300690,Zn69
389,300691,Zn69m
390,300700,Zn70
391,300710,Zn71
392,300711,Zn71m
393,300720,Zn72
394,300730,Zn73
395,300731,Zn73m
396,300732,Zn73n
397,300740,Zn74
398,300750,Zn75
399,300760,Zn76
400,310630,Ga63
401,310640,Ga64
402,310650,Ga65
403,310660,Ga66
404,310670,Ga67
405,310680,Ga68
406,310690,Ga69
407,310700,Ga70
408,310710,Ga71
409,310720,Ga72
410,310721,Ga72m
411,310730,Ga73
412,310740,Ga74
413,310741,Ga74m
414,310750,Ga75
415,310760,Ga76
416,310770,Ga77
417,310780,Ga78
418,310790,Ga79
419,320640,Ge64
420,320650,Ge65
421,320660,Ge66
422,320670,Ge67
423,320680,Ge68
424,320690,Ge69
425,320700,Ge70
426,320710,Ge71
427,320711,Ge71m
428,320720,Ge72
429,320730,Ge73
430,320731,Ge73m
431,320740,Ge74
432,320750,Ge75
433,320751,Ge75m
434,320760,Ge76
435,320770,Ge77
436,320771,Ge77m
437,320780,Ge78
438,320790,Ge79
439,320791,Ge79m
440,320800,Ge80
441,320810,Ge81
442,320811,Ge81m
443,330670,As67
444,330680,As68
445,330690,As69
446,330700,As70
447,330710,As71
