entries=2233
i,zai,name
1386,651501,Tb150m
1387,651510,Tb151
1388,651511,Tb151m
1389,651520,Tb152
1390,651521,Tb152m
1391,651530,Tb153
1392,651540,Tb154
1393,651541,Tb154m
1394,651542,Tb154n
1395,651550,Tb155
1396,651560,Tb156
1397,651561,Tb156m
1398,651562,Tb156n
1399,651570,Tb157
1400,651580,Tb158
1401,651581,Tb158m
1402,651590,Tb159
1403,651600,Tb160
1404,651610,Tb161
1405,651620,Tb162
1406,651630,Tb163
1407,651640,Tb164
1408,651650,Tb165
1409,651660,Tb166
1410,651670,Tb167
1411,651680,Tb168
1412,661470,Dy147
1413,661471,Dy147m
1414,661480,Dy148
1415,661490,Dy149
1416,661500,Dy150
1417,661510,Dy151
1418,661520,Dy152
1419,661530,Dy153
1420,661540,Dy154
1421,661550,Dy155
1422,661560,Dy156
1423,661570,Dy157
1424,661580,Dy158
1425,661590,Dy159
1426,661600,Dy160
1427,661610,Dy161
1428,661620,Dy162
1429,661630,Dy163
1430,661640,Dy164
1431,661650,Dy165
1432,661651,Dy165m
1433,661660,Dy166
1434,661670,Dy167
1435,661680,Dy168
1436,661690,Dy169
1437,661700,Dy170
1438,661710,Dy171
1439,671520,Ho152
1440,671521,Ho152m
1441,671530,Ho153
1442,671531,Ho153m
1443,671540,Ho154
1444,671541,Ho154m
1445,671550,Ho155
1446,671560,Ho156
1447,671561,Ho156m
1448,671562,Ho156n
1449,671570,Ho157
1450,671580,Ho158
1451,671581,Ho158m
1452,671582,Ho158n
1453,671590,Ho159
1454,671591,Ho159m
1455,671600,Ho160
1456,671601,Ho160m
1457,671602,Ho160n
1458,671610,Ho161
1459,671611,Ho161m
1460,671620,Ho162
1461,671621,Ho162m
1462,671630,Ho163
1463,671631,Ho163m
1464,671640,Ho164
1465,671641,Ho164m
1466,671650,Ho165
1467,671660,Ho166
1468,671661,Ho166m
1469,671670,Ho167
1470,671680,Ho168
1471,671681,Ho168m
1472,671690,Ho169
1473,671700,Ho170
1474,671701,Ho170m
1475,671710,Ho171
1476,671720,Ho172
1477,671730,Ho173
1478,681530,Er153
1479,681540,Er154
1480,681550,Er155
1481,681560,Er156
1482,681570,Er157
1483,681580,Er158
1484,681590,Er159
1485,681600,Er160
1486,681610,Er161
1487,681620,Er162
1488,681630,Er163
1489,681640,Er164
1490,681650,Er165
1491,681660,Er166
1492,681670,Er167
1493,681671,Er167m
1494,681680,Er168
1495,681690,Er169
1496,681700,Er170
1497,681710,Er171
1498,681720,Er172
1499,681730,Er173
1500,681740,Er174
1501,681750,Er175
1502,691580,Tm158
1503,691590,Tm159
1504,691600,Tm160
1505,691601,Tm160m
1506,691610,Tm161
1507,691611,Tm161m
1508,691620,Tm162
1509,691621,Tm162m
1510,691630,Tm163
1511,691640,Tm164
1512,691641,Tm164m
1513,691650,Tm165
1514,691660,Tm166
1515,691670,Tm167
1516,691680,Tm168
1517,691690,Tm169
1518,691700,Tm170
1519,691710,Tm171
1520,691720,Tm172
1521,691730,Tm173
1522,691740,Tm174
1523,691750,Tm175
1524,691760,Tm176
1525,691770,Tm177
1526,691780,Tm178
1527,691790,Tm179
1528,701590,Yb159
1529,701600,Yb160
1530,701610,Yb161
1531,701620,Yb162
1532,701630,Yb163
1533,701640,Yb164
1534,701650,Yb165
1535,701660,Yb166
1536,701670,Yb167
1537,701680,Yb168
1538,701690,Yb169
1539,701691,Yb169m
1540,701700,Yb170
1541,701710,Yb171
1542,701720,Yb172
1543,701730,Yb173
1544,701740,Yb174
1545,701750,Yb175
1546,701760,Yb176
1547,701761,Yb176m
1548,701770,Yb177
1549,701771,Yb177m
1550,701780,Yb178
1551,701790,Yb179
1552,701800,Yb180
1553,701810,Yb181
1554,711620,Lu162
1555,711621,Lu162m
1556,711622,Lu162n
1557,711630,Lu163
1558,711640,Lu164
1559,711650,Lu165
1560,711660,Lu166
1561,711661,Lu166m
1562,711662,Lu166n
1563,711670,Lu167
1564,711671,Lu167m
1565,711680,Lu168
1566,711681,Lu168m
1567,711690,Lu169
1568,711691,Lu169m
1569,711700,Lu170
1570,711701,Lu170m
1571,711710,Lu171
1572,711711,Lu171m
1573,711720,Lu172
1574,711721,Lu172m
1575,711730,Lu173
1576,711740,Lu174
1577,711741,Lu174m
1578,711750,Lu175
1579,711760,Lu176
1580,711761,Lu176m
1581,711770,Lu177
1582,711771,Lu177m
1583,711772,Lu177n
1584,711780,Lu178
1585,711781,Lu178m
1586,711790,Lu179
1587,711800,Lu180
1588,711801,Lu180m
1589,711810,Lu181
1590,711820,Lu182
1591,711830,Lu183
1592,711840,Lu184
1593,721630,Hf163
1594,721640,Hf164
1595,721650,Hf165
1596,721660,Hf166
1597,721670,Hf167
1598,721680,Hf168
1599,721690,Hf169
1600,721700,Hf170
1601,721710,Hf171
1602,721711,Hf171m
1603,721720,Hf172
1604,721730,Hf173
1605,721740,Hf174
1606,721750,Hf175
1607,721760,Hf176
1608,721770,Hf177
1609,721771,Hf177m
1610,721772,Hf177n
1611,721780,Hf178
1612,721781,Hf178m
1613,721782,Hf178n
1614,721790,Hf179
1615,721791,Hf179m
1616,721792,Hf179n
1617,721800,Hf180
1618,721801,Hf180m
1619,721810,Hf181
1620,721820,Hf182
1621,721821,Hf182m
1622,721830,Hf183
1623,721840,Hf184
1624,721841,Hf184m
1625,721850,Hf185
1626,721860,Hf186
1627,721870,Hf187
1628,731700,Ta170
1629,731710,Ta171
1630,731720,Ta172
1631,731730,Ta173
1632,731740,Ta174
1633,731750,Ta175
1634,731760,Ta176
1635,731770,Ta177
1636,731780,Ta178
1637,731781,Ta178m
1638,731790,Ta179
1639,731800,Ta180
1640,731801,Ta180m
1641,731810,Ta181
1642,731820,Ta182
1643,731821,Ta182m
1644,731822,Ta182n
1645,731830,Ta183
1646,731840,Ta184
1647,731850,Ta185
1648,731860,Ta186
1649,731870,Ta187
1650,731880,Ta188
1651,731890,Ta189
1652,731900,Ta190
1653,741710,W171
1654,741720,W172
1655,741730,W173
1656,741740,W174
1657,741750,W175
1658,741760,W176
1659,741770,W177
1660,741780,W178
1661,741790,W179
1662,741791,W179m
1663,741800,W180
1664,741810,W181
1665,741820,W182
1666,741830,W183
1667,741831,W183m
1668,741840,W184
1669,741850,W185
1670,741851,W185m
1671,741860,W186
1672,741870,W187
1673,741880,W188
1674,741890,W189
1675,741900,W190
1676,741910,W191
1677,741920,W192
1678,741930,W193
1679,741940,W194
1680,751740,Re174
1681,751750,Re175
1682,751760,Re176
1683,751770,Re177
1684,751780,Re178
1685,751790,Re179
1686,751800,Re180
1687,751810,Re181
1688,751820,Re182
1689,751821,Re182m
1690,751830,Re183
1691,751840,Re184
1692,751841,Re184m
1693,751850,Re185
1694,751860,Re186
1695,751861,Re186m
1696,751870,Re187
1697,751880,Re188
1698,751881,Re188m
1699,751890,Re189
1700,751900,Re190
1701,751901,Re190m
1702,751910,Re191
1703,751920,Re192
1704,751930,Re193
1705,751940,Re194
1706,751950,Re195
1707,751960,Re196
1708,751970,Re197
1709,751980,Re198
1710,761750,Os175
1711,761760,Os176
1712,761770,Os177
1713,761780,Os178
1714,761790,Os179
1715,761800,Os180
1716,761810,Os181
1717,761811,Os181m
1718,761820,Os182
1719,761830,Os183
1720,761831,Os183m
1721,761840,Os184
1722,761850,Os185
1723,761860,Os186
1724,761870,Os187
1725,761880,Os188
1726,761890,Os189
1727,761891,Os189m
1728,761900,Os190
1729,761901,Os190m
1730,761910,Os191
1731,761911,Os191m
1732,761920,Os192
1733,761921,Os192m
1734,761930,Os193
1735,761940,Os194
1736,761950,Os195
1737,761960,Os196
1738,761970,Os197
1739,761980,Os198
1740,761990,Os199
1741,762000,Os200
1742,762010,Os201
1743,771780,Ir178
1744,771790,Ir179
1745,771800,Ir180
1746,771810,Ir181
1747,771820,Ir182
1748,771830,Ir183
1749,771840,Ir184
1750,771850,Ir185
1751,771860,Ir186
1752,771861,Ir186m
1753,771870,Ir187
1754,771880,Ir188
1755,771890,Ir189
1756,771900,Ir190
1757,771901,Ir190m
1758,771902,Ir190n
1759,771910,Ir191
1760,771911,Ir191m
1761,771912,Ir191n
1762,771920,Ir192
1763,771921,Ir192m
1764,771922,Ir192n
1765,771930,Ir193
1766,771931,Ir193m
1767,771940,Ir194
1768,771941,Ir194m
1769,771942,Ir194n
1770,771950,Ir195
1771,771951,Ir195m
1772,771960,Ir196
1773,771961,Ir196m
1774,771970,Ir197
1775,771971,Ir197m
1776,771980,Ir198
1777,771990,Ir199
1778,772000,Ir200
1779,772010,Ir201
1780,772020,Ir202
1781,781810,Pt181
1782,781820,Pt182
1783,781830,Pt183
1784,781831,Pt183m
1785,781840,Pt184
1786,781850,Pt185
1787,781851,Pt185m
1788,781860,Pt186
1789,781870,Pt187
1790,781880,Pt188
1791,781890,Pt189
1792,781900,Pt190
1793,781910,Pt191
1794,781920,Pt192
1795,781930,Pt193
1796,781931,Pt193m
1797,781940,Pt194
1798,781950,Pt195
1799,781951,Pt195m
1800,781960,Pt196
1801,781970,Pt197
1802,781971,Pt197m
1803,781980,Pt198
1804,781990,Pt199
1805,781991,Pt199m
1806,782000,Pt200
1807,782010,Pt201
1808,782020,Pt202
1809,782030,Pt203
1810,791850,Au185
1811,791860,Au186
1812,791870,Au187
1813,791871,Au187m
1814,791880,Au188
1815,791890,Au189
1816,791891,Au189m
1817,791900,Au190
1818,791910,Au191
1819,791911,Au191m
1820,791920,Au192
1821,791921,Au192m
1822,791922,Au192n
1823,791930,Au193
1824,791931,Au193m
1825,791940,Au194
1826,791941,Au194m
1827,791942,Au194n
1828,791950,Au195
1829,791951,Au195m
1830,791960,Au196
1831,791961,Au196m
1832,791962,Au196n
1833,791970,Au197
1834,791971,Au197m
1835,791980,Au198
1836,791981,Au198m
1837,791990,Au199
1838,792000,Au200
1839,792001,Au200m
1840,792010,Au201
1841,792020,Au202
1842,792030,Au203
1843,792040,Au204
1844,792050,Au205
1845,792060,Au206
1846,801860,Hg186
1847,801870,Hg187
1848,801871,Hg187m
1849,801880,Hg188
1850,801890,Hg189
1851,801891,Hg189m
1852,801900,Hg190
1853,801910,Hg191
1854,801911,Hg191m
1855,801920,Hg192
1856,801930,Hg193
1857,801931,Hg193m
1858,801940,Hg194
1859,801950,Hg195
1860,801951,Hg195m
1861,801960,Hg196
1862,801970,Hg197
1863,801971,Hg197m
1864,801980,Hg198
1865,801990,Hg199
1866,801991,Hg199m
1867,802000,Hg200
1868,802010,Hg201
1869,802020,Hg202
1870,802030,Hg203
1871,802040,Hg204
1872,802050,Hg205
1873,802060,Hg206
1874,802070,Hg207
1875,802080,Hg208
1876,802090,Hg209
1877,811920,Tl192
1878,811921,Tl192m
1879,811930,Tl193
1880,811931,Tl193m
1881,811940,Tl194
1882,811941,Tl194m
1883,811950,Tl195
1884,811951,Tl195m
1885,811960,Tl196
1886,811961,Tl196m
1887,811970,Tl197
1888,811971,Tl197m
1889,811980,Tl198
1890,811981,Tl198m
1891,811990,Tl199
1892,812000,Tl200
1893,812010,Tl201
1894,812020,Tl202
1895,812030,Tl203
1896,812040,Tl204
1897,812050,Tl205
1898,812060,Tl206
1899,812061,Tl206m
1900,812070,Tl207
1901,812071,Tl207m
1902,812080,Tl208
1903,812090,Tl209
1904,812100,Tl210
1905,821930,Pb193
1906,821931,Pb193m
1907,821940,Pb194
1908,821950,Pb195
1909,821951,Pb195m
1910,821960,Pb196
1911,821970,Pb197
1912,821971,Pb197m
1913,821980,Pb198
1914,821990,Pb199
1915,821991,Pb199m
1916,822000,Pb200
1917,822010,Pb201
1918,822011,Pb201m
1919,822020,Pb202
1920,822021,Pb202m
1921,822030,Pb203
1922,822031,Pb203m
1923,822032,Pb203n
1924,822040,Pb204
1925,822041,Pb204m
1926,822050,Pb205
1927,822051,Pb205m
1928,822060,Pb206
1929,822070,Pb207
1930,822071,Pb207m
1931,822080,Pb208
1932,822090,Pb209
1933,822100,Pb210
1934,822110,Pb211
1935,822120,Pb212
1936,822130,Pb213
1937,822140,Pb214
1938,822150,Pb215
1939,831960,Bi196
1940,831961,Bi196m
1941,831962,Bi196n
1942,831970,Bi197
1943,831971,Bi197m
1944,831980,Bi198
1945,831981,Bi198m
1946,831982,Bi198n
1947,831990,Bi199
1948,831991,Bi199m
1949,832000,Bi200
1950,832001,Bi200m
1951,832002,Bi200n
1952,832010,Bi201
1953,832011,Bi201m
1954,832020,Bi202
1955,832030,Bi203
1956,832031,Bi203m
1957,832040,Bi204
1958,832050,Bi205
1959,832060,Bi206
1960,832070,Bi207
1961,832080,Bi208
1962,832081,Bi208m
1963,832090,Bi209
1964,832100,Bi210
1965,832101,Bi210m
1966,832110,Bi211
1967,832120,Bi212
1968,832121,Bi212m
1969,832122,Bi212n
1970,832130,Bi213
1971,832140,Bi214
1972,832150,Bi215
1973,832151,Bi215m
1974,832160,Bi216
1975,842020,Po202
1976,842030,Po203
1977,842031,Po203m
1978,842040,Po204
1979,842050,Po205
1980,842060,Po206
1981,842070,Po207
1982,842071,Po207m
1983,842080,Po208
1984,842090,Po209
1985,842100,Po210
1986,842110,Po211
1987,842111,Po211m
1988,842120,Po212
1989,842121,Po212m
1990,842130,Po213
1991,842140,Po214
1992,842150,Po215
1993,842160,Po216
1994,842170,Po217
1995,842180,Po218
1996,842190,Po219
1997,852050,At205
1998,852060,At206
1999,852070,At207
2000,852080,At208
2001,852090,At209
2002,852100,At210
2003,852110,At211
2004,852120,At212
2005,852121,At212m
2006,852130,At213
2007,852140,At214
2008,852150,At215
2009,852160,At216
2010,852170,At217
2011,852180,At218
2012,852190,At219
2013,852200,At220
2014,852210,At221
2015,852220,At222
2016,862080,Rn208
2017,862090,Rn209
2018,862100,Rn210
2019,862110,Rn211
2020,862120,Rn212
2021,862130,Rn213
2022,862140,Rn214
2023,862150,Rn215
2024,862160,Rn216
2025,862170,Rn217
2026,862180,Rn218
2027,862190,Rn219
2028,862200,Rn220
2029,862210,Rn221
2030,862220,Rn222
2031,862230,Rn223
2032,862240,Rn224
2033,862250,Rn225
2034,872180,Fr218
2035,872181,Fr218m
2036,872190,Fr219
2037,872200,Fr220
2038,872210,Fr221
2039,872220,Fr222
2040,872230,Fr223
2041,872240,Fr224
2042,872250,Fr225
2043,872260,Fr226
2044,872270,Fr227
2045,872280,Fr228
2046,882200,Ra220
2047,882210,Ra221
2048,882220,Ra222
2049,882230,Ra223
2050,882240,Ra224
2051,882250,Ra225
2052,882260,Ra226
2053,882270,Ra227
2054,882280,Ra228
2055,882290,Ra229
2056,882300,Ra230
2057,882310,Ra231
2058,892220,Ac222
2059,892221,Ac222m
2060,892230,Ac223
2061,892240,Ac224
2062,892250,Ac225
2063,892260,Ac226
2064,892270,Ac227
2065,892280,Ac228
2066,892290,Ac229
2067,892300,Ac230
2068,892310,Ac231
2069,892320,Ac232
2070,892330,Ac233
2071,892340,Ac234
2072,902240,Th224
2073,902250,Th225
2074,902260,Th226
2075,902270,Th227
2076,902280,Th228
2077,902290,Th229
2078,902291,Th229m
2079,902300,Th230
2080,902310,Th231
2081,902320,Th232
2082,902330,Th233
2083,902340,Th234
2084,902350,Th235
2085,912260,Pa226
2086,912270,Pa227
2087,912280,Pa228
2088,912290,Pa229
2089,912300,Pa230
2090,912310,Pa231
2091,912320,Pa232
2092,912330,Pa233
2093,912340,Pa234
2094,912341,Pa234m
2095,912350,Pa235
2096,912360,Pa236
2097,912370,Pa237
2098,912380,Pa238
2099,922280,U228
2100,922290,U229
2101,922300,U230
2102,922310,U231
2103,922320,U232
2104,922330,U233
2105,922340,U234
2106,922350,U235
2107,922351,U235m
2108,922360,U236
2109,922370,U237
2110,922380,U238
2111,922390,U239
2112,922400,U240
2113,922410,U241
2114,922420,U242
2115,922430,U243
2116,922440,U244
2117,922450,U245
2118,932300,Np230
2119,932310,Np231
2120,932320,Np232
2121,932330,Np233
2122,932340,Np234
2123,932350,Np235
2124,932360,Np236
2125,932361,Np236m
2126,932370,Np237
2127,932380,Np238
2128,932390,Np239
2129,932400,Np240
2130,932401,Np240m
2131,932410,Np241
2132,932420,Np242
2133,932421,Np242m
2134,932430,Np243
2135,932440,Np244
2136,932450,Np245
2137,932460,Np246
2138,942320,Pu232
2139,942330,Pu233
2140,942340,Pu234
2141,942350,Pu235
2142,942360,Pu236
2143,942370,Pu237
2144,942371,Pu237m
2145,942380,Pu238
2146,942390,Pu239
2147,942400,Pu240
2148,942410,Pu241
2149,942420,Pu242
2150,942430,Pu243
2151,942440,Pu244
2152,942450,Pu245
2153,942460,Pu246
2154,942470,Pu247
2155,952370,Am237
2156,952380,Am238
2157,952390,Am239
2158,952400,Am240
2159,952410,Am241
2160,952420,Am242
2161,952421,Am242m
2162,952430,Am243
2163,952440,Am244
2164,952441,Am244m
2165,952450,Am245
2166,952460,Am246
2167,952461,Am246m
2168,952470,Am247
2169,952480,Am248
2170,952490,Am249
2171,952500,Am250
2172,962380,Cm238
2173,962390,Cm239
2174,962400,Cm240
2175,962410,Cm241
2176,962420,Cm242
2177,962430,Cm243
2178,962440,Cm244
2179,962450,Cm245
2180,962460,Cm246
2181,962470,Cm247
2182,962480,Cm248
2183,962490,Cm249
2184,962500,Cm250
2185,962510,Cm251
2186,972430,Bk243
2187,972440,Bk244
2188,972450,Bk245
2189,972460,Bk246
2190,972470,Bk247
2191,972480,Bk248
2192,972481,Bk248m
2193,972490,Bk249
2194,972500,Bk250
2195,972510,Bk251
2196,972520,Bk252
2197,972530,Bk253
2198,972540,Bk254
2199,982440,Cf244
2200,982450,Cf245
2201,982460,Cf246
2202,982470,Cf247
2203,982480,Cf248
2204,982490,Cf249
2205,982500,Cf250
2206,982510,Cf251
2207,982520,Cf252
2208,982530,Cf253
2209,982540,Cf254
2210,982550,Cf255
2211,992490,Es249
2212,992500,Es250
2213,992501,Es250m
2214,992510,Es251
2215,992520,Es252
2216,992530,Es253
2217,992540,Es254
2218,992541,Es254m
2219,992550,Es255
2220,992560,Es256
2221,992561,Es256m
2222,992570,Es257
2223,1002500,Fm250
2224,1002501,Fm250m
2225,1002510,Fm251
2226,1002520,Fm252
2227,1002530,Fm253
2228,1002540,Fm254
2229,1002550,Fm255
2230,1002560,Fm256
2231,1002570,Fm257
2232,1002580,Fm258
