entries=2233,dt=1.000000000000000e-18
i,zai,name,n_0,n_dt
90,120230,Mg23,1.000000000000000e+20,0.000000000000000e+00
91,120240,Mg24,1.000000000000000e+20,0.000000000000000e+00
92,120250,Mg25,1.000000000000000e+20,0.000000000000000e+00
93,120260,Mg26,1.000000000000000e+20,0.000000000000000e+00
94,120270,Mg27,1.000000000000000e+20,0.000000000000000e+00
95,120280,Mg28,1.000000000000000e+20,0.000000000000000e+00
96,120290,Mg29,1.000000000000000e+20,0.000000000000000e+00
97,120300,Mg30,1.000000000000000e+20,0.000000000000000e+00
98,120310,Mg31,1.000000000000000e+20,0.000000000000000e+00
99,130230,Al23,1.000000000000000e+20,0.000000000000000e+00
100,130240,Al24,1.000000000000000e+20,0.000000000000000e+00
101,130241,Al24m,1.000000000000000e+20,0.000000000000000e+00
102,130250,Al25,1.000000000000000e+20,0.000000000000000e+00
103,130260,Al26,1.000000000000000e+20,0.000000000000000e+00
104,130261,Al26m,1.000000000000000e+20,0.000000000000000e+00
105,130270,Al27,1.000000000000000e+20,0.000000000000000e+00
106,130280,Al28,1.000000000000000e+20,0.000000000000000e+00
107,130290,Al29,1.000000000000000e+20,0.000000000000000e+00
108,130300,Al30,1.000000000000000e+20,0.000000000000000e+00
109,130310,Al31,1.000000000000000e+20,0.000000000000000e+00
110,130320,Al32,1.000000000000000e+20,0.000000000000000e+00
111,130330,Al33,1.000000000000000e+20,0.000000000000000e+00
112,130340,Al34,1.000000000000000e+20,0.000000000000000e+00
113,140250,Si25,1.000000000000000e+20,0.000000000000000e+00
114,140260,Si26,1.000000000000000e+20,0.000000000000000e+00
115,140270,Si27,1.000000000000000e+20,0.000000000000000e+00
116,140280,Si28,1.000000000000000e+20,0.000000000000000e+00
117,140290,Si29,1.000000000000000e+20,0.000000000000000e+00
118,140300,Si30,1.000000000000000e+20,0.000000000000000e+00
119,140310,Si31,1.000000000000000e+20,0.000000000000000e+00
120,140320,Si32,1.000000000000000e+20,0.000000000000000e+00
121,140330,Si33,1.000000000000000e+20,0.000000000000000e+00
122,140340,Si34,1.000000000000000e+20,0.000000000000000e+00
123,140350,Si35,1.000000000000000e+20,0.000000000000000e+00
124,140360,Si36,1.000000000000000e+20,0.000000000000000e+00
125,150280,P28,1.000000000000000e+20,0.000000000000000e+00
126,150290,P29,1.000000000000000e+20,0.000000000000000e+00
127,150300,P30,1.000000000000000e+20,0.000000000000000e+00
128,150310,P31,1.000000000000000e+20,0.000000000000000e+00
129,150320,P32,1.000000000000000e+20,0.000000000000000e+00
130,150330,P33,1.000000000000000e+20,0.000000000000000e+00
131,150340,P34,1.000000000000000e+20,0.000000000000000e+00
132,150350,P35,1.000000000000000e+20,0.000000000000000e+00
133,150360,P36,1.000000000000000e+20,0.000000000000000e+00
134,150370,P37,1.000000000000000e+20,0.000000000000000e+00
135,150380,P38,1.000000000000000e+20,0.000000000000000e+00
136,150390,P39,1.000000000000000e+20,0.000000000000000e+00
137,150400,P40,1.000000000000000e+20,0.000000000000000e+00
138,160290,S29,1.000000000000000e+20,0.000000000000000e+00
139,160300,S30,1.000000000000000e+20,0.000000000000000e+00
140,160310,S31,1.000000000000000e+20,0.000000000000000e+00
141,160320,S32,1.000000000000000e+20,0.000000000000000e+00
142,160330,S33,1.000000000000000e+20,0.000000000000000e+00
143,160340,S34,1.000000000000000e+20,0.000000000000000e+00
144,160350,S35,1.000000000000000e+20,0.000000000000000e+00
145,160360,S36,1.000000000000000e+20,0.000000000000000e+00
146,160370,S37,1.000000000000000e+20,0.000000000000000e+00
147,160380,S38,1.000000000000000e+20,0.000000000000000e+00
148,160390,S39,1.000000000000000e+20,0.000000000000000e+00
149,160400,S40,1.000000000000000e+20,0.000000000000000e+00
150,160410,S41,1.000000000000000e+20,0.000000000000000e+00
151,170320,Cl32,1.000000000000000e+20,0.000000000000000e+00
152,170330,Cl33,1.000000000000000e+20,0.000000000000000e+00
153,170340,Cl34,1.000000000000000e+20,0.000000000000000e+00
154,170341,Cl34m,1.000000000000000e+20,0.000000000000000e+00
155,170350,Cl35,1.000000000000000e+20,0.000000000000000e+00
156,170360,Cl36,1.000000000000000e+20,0.000000000000000e+00
157,170370,Cl37,1.000000000000000e+20,0.000000000000000e+00
158,170380,Cl38,1.000000000000000e+20,0.000000000000000e+00
159,170381,Cl38m,1.000000000000000e+20,0.000000000000000e+00
160,170390,Cl39,1.000000000000000e+20,0.000000000000000e+00
161,170400,Cl40,1.000000000000000e+20,0.000000000000000e+00
162,170410,Cl41,1.000000000000000e+20,0.000000000000000e+00
163,170420,Cl42,1.000000000000000e+20,0.000000000000000e+00
164,170430,Cl43,1.000000000000000e+20,0.000000000000000e+00
165,170440,Cl44,1.000000000000000e+20,0.000000000000000e+00
166,170450,Cl45,1.000000000000000e+20,0.000000000000000e+00
167,180330,Ar33,1.000000000000000e+20,0.000000000000000e+00
168,180340,Ar34,1.000000000000000e+20,0.000000000000000e+00
169,180350,Ar35,1.000000000000000e+20,0.000000000000000e+00
170,180360,Ar36,1.000000000000000e+20,0.000000000000000e+00
171,180370,Ar37,1.000000000000000e+20,0.000000000000000e+00
172,180380,Ar38,1.000000000000000e+20,0.000000000000000e+00
173,180390,Ar39,1.000000000000000e+20,0.000000000000000e+00
174,180400,Ar40,1.000000000000000e+20,0.000000000000000e+00
175,180410,Ar41,1.000000000000000e+20,0.000000000000000e+00
176,180420,Ar42,1.000000000000000e+20,0.000000000000000e+00
177,180430,Ar43,1.000000000000000e+20,0.000000000000000e+00
178,180440,Ar44,1.000000000000000e+20,0.000000000000000e+00
179,180450,Ar45,1.000000000000000e+20,0.000000000000000e+00
180,180460,Ar46,1.000000000000000e+20,0.000000000000000e+00
181,180470,Ar47,1.000000000000000e+20,0.000000000000000e+00
182,190360,K36,1.000000000000000e+20,0.000000000000000e+00
183,190370,K37,1.000000000000000e+20,0.000000000000000e+00
184,190380,K38,1.000000000000000e+20,0.000000000000000e+00
185,190381,K38m,1.000000000000000e+20,0.000000000000000e+00
186,190390,K39,1.000000000000000e+20,0.000000000000000e+00
187,190400,K40,1.000000000000000e+20,0.000000000000000e+00
188,190410,K41,1.000000000000000e+20,0.000000000000000e+00
189,190420,K42,1.000000000000000e+20,0.000000000000000e+00
190,190430,K43,1.000000000000000e+20,0.000000000000000e+00
191,190440,K44,1.000000000000000e+20,0.000000000000000e+00
192,190450,K45,1.000000000000000e+20,0.000000000000000e+00
193,190460,K46,1.000000000000000e+20,0.000000000000000e+00
194,190470,K47,1.000000000000000e+20,0.000000000000000e+00
195,190480,K48,1.000000000000000e+20,0.000000000000000e+00
196,200370,Ca37,1.000000000000000e+20,0.000000000000000e+00
197,200380,Ca38,1.000000000000000e+20,0.000000000000000e+00
198,200390,Ca39,1.000000000000000e+20,0.000000000000000e+00
199,200400,Ca40,1.000000000000000e+20,0.000000000000000e+00
200,200410,Ca41,1.000000000000000e+20,0.000000000000000e+00
201,200420,Ca42,1.000000000000000e+20,0.000000000000000e+00
202,200430,Ca43,1.000000000000000e+20,0.000000000000000e+00
203,200440,Ca44,1.000000000000000e+20,0.000000000000000e+00
204,200450,Ca45,1.000000000000000e+20,0.000000000000000e+00
205,200460,Ca46,1.000000000000000e+20,0.000000000000000e+00
206,200470,Ca47,1.000000000000000e+20,0.000000000000000e+00
207,200480,Ca48,1.000000000000000e+20,0.000000000000000e+00
208,200490,Ca49,1.000000000000000e+20,0.000000000000000e+00
209,210400,Sc40,1.000000000000000e+20,0.000000000000000e+00
210,210410,Sc41,1.000000000000000e+20,0.000000000000000e+00
211,210420,Sc42,1.000000000000000e+20,0.000000000000000e+00
212,210421,Sc42m,1.000000000000000e+20,0.000000000000000e+00
213,210430,Sc43,1.000000000000000e+20,0.000000000000000e+00
214,210440,Sc44,1.000000000000000e+20,0.000000000000000e+00
215,210441,Sc44m,1.000000000000000e+20,0.000000000000000e+00
216,210450,Sc45,1.000000000000000e+20,0.000000000000000e+00
217,210451,Sc45m,1.000000000000000e+20,0.000000000000000e+00
218,210460,Sc46,1.000000000000000e+20,0.000000000000000e+00
219,210461,Sc46m,1.000000000000000e+20,0.000000000000000e+00
220,210470,Sc47,1.000000000000000e+20,0.000000000000000e+00
221,210480,Sc48,1.000000000000000e+20,0.000000000000000e+00
222,210490,Sc49,1.000000000000000e+20,0.000000000000000e+00
223,210500,Sc50,1.000000000000000e+20,0.000000000000000e+00
224,210501,Sc50m,1.000000000000000e+20,0.000000000000000e+00
225,210510,Sc51,1.000000000000000e+20,0.000000000000000e+00
226,210520,Sc52,1.000000000000000e+20,0.000000000000000e+00
227,220410,Ti41,1.000000000000000e+20,0.000000000000000e+00
228,220420,Ti42,1.000000000000000e+20,0.000000000000000e+00
229,220430,Ti43,1.000000000000000e+20,0.000000000000000e+00
230,220440,Ti44,1.000000000000000e+20,0.000000000000000e+00
231,220450,Ti45,1.000000000000000e+20,0.000000000000000e+00
232,220460,Ti46,1.000000000000000e+20,0.000000000000000e+00
233,220470,Ti47,1.000000000000000e+20,0.000000000000000e+00
234,220480,Ti48,1.000000000000000e+20,0.000000000000000e+00
235,220490,Ti49,1.000000000000000e+20,0.000000000000000e+00
236,220500,Ti50,1.000000000000000e+20,0.000000000000000e+00
237,220510,Ti51,1.000000000000000e+20,0.000000000000000e+00
238,220520,Ti52,1.000000000000000e+20,0.000000000000000e+00
239,220530,Ti53,1.000000000000000e+20,0.000000000000000e+00
240,220540,Ti54,1.000000000000000e+20,0.000000000000000e+00
241,220550,Ti55,1.000000000000000e+20,0.000000000000000e+00
242,230440,V44,1.000000000000000e+20,0.000000000000000e+00
243,230450,V45,1.000000000000000e+20,0.000000000000000e+00
244,230460,V46,1.000000000000000e+20,0.000000000000000e+00
245,230470,V47,1.000000000000000e+20,0.000000000000000e+00
246,230480,V48,1.000000000000000e+20,0.000000000000000e+00
247,230490,V49,1.000000000000000e+20,0.000000000000000e+00
248,230500,V50,1.000000000000000e+20,0.000000000000000e+00
249,230510,V51,1.000000000000000e+20,0.000000000000000e+00
250,230520,V52,1.000000000000000e+20,0.000000000000000e+00
251,230530,V53,1.000000000000000e+20,0.000000000000000e+00
252,230540,V54,1.000000000000000e+20,0.000000000000000e+00
253,230550,V55,1.000000000000000e+20,0.000000000000000e+00
254,230560,V56,1.000000000000000e+20,0.000000000000000e+00
255,230570,V57,1.000000000000000e+20,0.000000000000000e+00
256,230580,V58,1.000000000000000e+20,0.000000000000000e+00
257,240460,Cr46,1.000000000000000e+20,0.000000000000000e+00
258,240470,Cr47,1.000000000000000e+20,0.000000000000000e+00
259,240480,Cr48,1.000000000000000e+20,0.000000000000000e+00
260,240490,Cr49,1.000000000000000e+20,0.000000000000000e+00
261,240500,Cr50,1.000000000000000e+20,0.000000000000000e+00
262,240510,Cr51,1.000000000000000e+20,0.000000000000000e+00
263,240520,Cr52,1.000000000000000e+20,0.000000000000000e+00
264,240530,Cr53,1.000000000000000e+20,0.000000000000000e+00
265,240540,Cr54,1.000000000000000e+20,0.000000000000000e+00
266,240550,Cr55,1.000000000000000e+20,0.000000000000000e+00
267,240560,Cr56,1.000000000000000e+20,0.000000000000000e+00
268,240570,Cr57,1.000000000000000e+20,0.000000000000000e+00
269,240580,Cr58,1.000000000000000e+20,0.000000000000000e+00
270,240590,Cr59,1.000000000000000e+20,0.000000000000000e+00
271,250480,Mn48,1.000000000000000e+20,0.000000000000000e+00
272,250490,Mn49,1.000000000000000e+20,0.000000000000000e+00
273,250500,Mn50,1.000000000000000e+20,0.000000000000000e+00
274,250501,Mn50m,1.000000000000000e+20,0.000000000000000e+00
275,250510,Mn51,1.000000000000000e+20,0.000000000000000e+00
276,250520,Mn52,1.000000000000000e+20,0.000000000000000e+00
277,250521,Mn52m,1.000000000000000e+20,0.000000000000000e+00
278,250530,Mn53,1.000000000000000e+20,0.000000000000000e+00
279,250540,Mn54,1.000000000000000e+20,0.000000000000000e+00
280,250550,Mn55,1.000000000000000e+20,0.000000000000000e+00
281,250560,Mn56,1.000000000000000e+20,0.000000000000000e+00
282,250570,Mn57,1.000000000000000e+20,0.000000000000000e+00
283,250580,Mn58,1.000000000000000e+20,0.000000000000000e+00
284,250581,Mn58m,1.000000000000000e+20,0.000000000000000e+00
285,250590,Mn59,1.000000000000000e+20,0.000000000000000e+00
286,250600,Mn60,1.000000000000000e+20,0.000000000000000e+00
287,250601,Mn60m,1.000000000000000e+20,0.000000000000000e+00
288,250610,Mn61,1.000000000000000e+20,0.000000000000000e+00
289,250620,Mn62,1.000000000000000e+20,0.000000000000000e+00
290,250630,Mn63,1.000000000000000e+20,0.000000000000000e+00
291,250640,Mn64,1.000000000000000e+20,0.000000000000000e+00
292,260490,Fe49,1.000000000000000e+20,0.000000000000000e+00
293,260500,Fe50,1.000000000000000e+20,0.000000000000000e+00
294,260510,Fe51,1.000000000000000e+20,0.000000000000000e+00
295,260520,Fe52,1.000000000000000e+20,0.000000000000000e+00
296,260521,Fe52m,1.000000000000000e+20,0.000000000000000e+00
297,260530,Fe53,1.000000000000000e+20,0.000000000000000e+00
298,260531,Fe53m,1.000000000000000e+20,0.000000000000000e+00
299,260540,Fe54,1.000000000000000e+20,0.000000000000000e+00
300,260550,Fe55,1.000000000000000e+20,0.000000000000000e+00
301,260560,Fe56,1.000000000000000e+20,3.500000000000000e+21
302,260570,Fe57,1.000000000000000e+20,1.200000000000000e+18
303,260580,Fe58,1.000000000000000e+20,0.000000000000000e+00
304,260590,Fe59,1.000000000000000e+20,0.000000000000000e+00
305,260600,Fe60,1.000000000000000e+20,0.000000000000000e+00
306,260610,Fe61,1.000000000000000e+20,0.000000000000000e+00
307,260620,Fe62,1.000000000000000e+20,0.000000000000000e+00
308,260630,Fe63,1.000000000000000e+20,0.000000000000000e+00
309,260640,Fe64,1.000000000000000e+20,0.000000000000000e+00
310,260650,Fe65,1.000000000000000e+20,0.000000000000000e+00
311,270520,Co52,1.000000000000000e+20,0.000000000000000e+00
312,270530,Co53,1.000000000000000e+20,0.000000000000000e+00
313,270540,Co54,1.000000000000000e+20,0.000000000000000e+00
314,270541,Co54m,1.000000000000000e+20,0.000000000000000e+00
315,270550,Co55,1.000000000000000e+20,0.000000000000000e+00
316,270560,Co56,1.000000000000000e+20,0.000000000000000e+00
317,270570,Co57,1.000000000000000e+20,0.000000000000000e+00
318,270580,Co58,1.000000000000000e+20,0.000000000000000e+00
319,270581,Co58m,1.000000000000000e+20,0.000000000000000e+00
320,270590,Co59,1.000000000000000e+20,0.000000000000000e+00
321,270600,Co60,1.000000000000000e+20,0.000000000000000e+00
322,270601,Co60m,1.000000000000000e+20,0.000000000000000e+00
323,270610,Co61,1.000000000000000e+20,0.000000000000000e+00
324,270620,Co62,1.000000000000000e+20,0.000000000000000e+00
325,270621,Co62m,1.000000000000000e+20,0.000000000000000e+00
326,270630,Co63,1.000000000000000e+20,0.000000000000000e+00
327,270640,Co64,1.000000000000000e+20,0.000000000000000e+00
328,270650,Co65,1.000000000000000e+20,0.000000000000000e+00
329,270660,Co66,1.000000000000000e+20,0.000000000000000e+00
330,270670,Co67,1.000000000000000e+20,0.000000000000000e+00
331,270680,Co68,1.000000000000000e+20,0.000000000000000e+00
332,270681,Co68m,1.000000000000000e+20,0.000000000000000e+00
333,270690,Co69,1.000000000000000e+20,0.000000000000000e+00
334,280530,Ni53,1.000000000000000e+20,0.000000000000000e+00
335,280540,Ni54,1.000000000000000e+20,0.000000000000000e+00
336,280550,Ni55,1.000000000000000e+20,0.000000000000000e+00
337,280560,Ni56,1.000000000000000e+20,0.000000000000000e+00
338,280570,Ni57,1.000000000000000e+20,0.000000000000000e+00
339,280580,Ni58,1.000000000000000e+20,0.000000000000000e+00
340,280590,Ni59,1.000000000000000e+20,0.000000000000000e+00
341,280600,Ni60,1.000000000000000e+20,0.000000000000000e+00
342,280610,Ni61,1.000000000000000e+20,0.000000000000000e+00
343,280620,Ni62,1.000000000000000e+20,0.000000000000000e+00
344,280630,Ni63,1.000000000000000e+20,0.000000000000000e+00
345,280640,Ni64,1.000000000000000e+20,0.000000000000000e+00
346,280650,Ni65,1.000000000000000e+20,0.000000000000000e+00
347,280660,Ni66,1.000000000000000e+20,0.000000000000000e+00
348,280670,Ni67,1.000000000000000e+20,0.000000000000000e+00
349,280680,Ni68,1.000000000000000e+20,0.000000000000000e+00
350,280690,Ni69,1.000000000000000e+20,0.000000000000000e+00
351,280691,Ni69m,1.000000000000000e+20,0.000000000000000e+00
352,280700,Ni70,1.000000000000000e+20,0.000000000000000e+00
353,280710,Ni71,1.000000000000000e+20,0.000000000000000e+00
354,290560,Cu56,1.000000000000000e+20,0.000000000000000e+00
355,290570,Cu57,1.000000000000000e+20,0.000000000000000e+00
356,290580,Cu58,1.000000000000000e+20,0.000000000000000e+00
357,290590,Cu59,1.000000000000000e+20,0.000000000000000e+00
358,290600,Cu60,1.000000000000000e+20,0.000000000000000e+00
359,290610,Cu61,1.000000000000000e+20,0.000000000000000e+00
360,290620,Cu62,1.000000000000000e+20,0.000000000000000e+00
361,290630,Cu63,1.000000000000000e+20,0.000000000000000e+00
362,290640,Cu64,1.000000000000000e+20,0.000000000000000e+00
363,290650,Cu65,1.000000000000000e+20,0.000000000000000e+00
364,290660,Cu66,1.000000000000000e+20,0.000000000000000e+00
365,290670,Cu67,1.000000000000000e+20,0.000000000000000e+00
366,290680,Cu68,1.000000000000000e+20,0.000000000000000e+00
367,290681,Cu68m,1.000000000000000e+20,0.000000000000000e+00
368,290690,Cu69,1.000000000000000e+20,0.000000000000000e+00
369,290700,Cu70,1.000000000000000e+20,0.000000000000000e+00
370,290701,Cu70m,1.000000000000000e+20,0.000000000000000e+00
371,290702,Cu70n,1.000000000000000e+20,0.000000000000000e+00
372,290710,Cu71,1.000000000000000e+20,0.000000000000000e+00
373,290720,Cu72,1.000000000000000e+20,0.000000000000000e+00
374,290730,Cu73,1.000000000000000e+20,0.000000000000000e+00
375,290740,Cu74,1.000000000000000e+20,0.000000000000000e+00
376,290750,Cu75,1.000000000000000e+20,0.000000000000000e+00
377,300580,Zn58,1.000000000000000e+20,0.000000000000000e+00
378,300590,Zn59,1.000000000000000e+20,0.000000000000000e+00
379,300600,Zn60,1.000000000000000e+20,0.000000000000000e+00
380,300610,Zn61,1.000000000000000e+20,0.000000000000000e+00
381,300620,Zn62,1.000000000000000e+20,0.000000000000000e+00
382,300630,Zn63,1.000000000000000e+20,0.000000000000000e+00
383,300640,Zn64,1.000000000000000e+20,0.000000000000000e+00
384,300650,Zn65,1.000000000000000e+20,0.000000000000000e+00
385,300660,Zn66,1.000000000000000e+20,0.000000000000000e+00
386,300670,Zn67,1.000000000000000e+20,0.000000000000000e+00
387,300680,Zn68,1.000000000000000e+20,0.000000000000000e+00
388,300690,Zn69,1.000000000000000e+20,0.000000000000000e+00
389,300691,Zn69m,1.000000000000000e+20,0.000000000000000e+00
390,300700,Zn70,1.000000000000000e+20,0.000000000000000e+00
391,300710,Zn71,1.000000000000000e+20,0.000000000000000e+00
392,300711,Zn71m,1.000000000000000e+20,0.000000000000000e+00
393,300720,Zn72,1.000000000000000e+20,0.000000000000000e+00
394,300730,Zn73,1.000000000000000e+20,0.000000000000000e+00
395,300731,Zn73m,1.000000000000000e+20,0.000000000000000e+00
396,300732,Zn73n,1.000000000000000e+20,0.000000000000000e+00
397,300740,Zn74,1.000000000000000e+20,0.000000000000000e+00
398,300750,Zn75,1.000000000000000e+20,0.000000000000000e+00
399,300760,Zn76,1.000000000000000e+20,0.000000000000000e+00
400,310630,Ga63,1.000000000000000e+20,0.000000000000000e+00
401,310640,Ga64,1.000000000000000e+20,0.000000000000000e+00
402,310650,Ga65,1.000000000000000e+20,0.000000000000000e+00
403,310660,Ga66,1.000000000000000e+20,0.000000000000000e+00
404,310670,Ga67,1.000000000000000e+20,0.000000000000000e+00
405,310680,Ga68,1.000000000000000e+20,0.000000000000000e+00
406,310690,Ga69,1.000000000000000e+20,0.000000000000000e+00
407,310700,Ga70,1.000000000000000e+20,0.000000000000000e+00
408,310710,Ga71,1.000000000000000e+20,0.000000000000000e+00
409,310720,Ga72,1.000000000000000e+20,0.000000000000000e+00
410,310721,Ga72m,1.000000000000000e+20,0.000000000000000e+00
411,310730,Ga73,1.000000000000000e+20,0.000000000000000e+00
412,310740,Ga74,1.000000000000000e+20,0.000000000000000e+00
413,310741,Ga74m,1.000000000000000e+20,0.000000000000000e+00
414,310750,Ga75,1.000000000000000e+20,0.000000000000000e+00
415,310760,Ga76,1.000000000000000e+20,0.000000000000000e+00
416,310770,Ga77,1.000000000000000e+20,0.000000000000000e+00
417,310780,Ga78,1.000000000000000e+20,0.000000000000000e+00
418,310790,Ga79,1.000000000000000e+20,0.000000000000000e+00
419,320640,Ge64,1.000000000000000e+20,0.000000000000000e+00
420,320650,Ge65,1.000000000000000e+20,0.000000000000000e+00
421,320660,Ge66,1.000000000000000e+20,0.000000000000000e+00
422,320670,Ge67,1.000000000000000e+20,0.000000000000000e+00
423,320680,Ge68,1.000000000000000e+20,0.000000000000000e+00
424,320690,Ge69,1.000000000000000e+20,0.000000000000000e+00
425,320700,Ge70,1.000000000000000e+20,0.000000000000000e+00
426,320710,Ge71,1.000000000000000e+20,0.000000000000000e+00
427,320711,Ge71m,1.000000000000000e+20,0.000000000000000e+00
428,320720,Ge72,1.000000000000000e+20,0.000000000000000e+00
429,320730,Ge73,1.000000000000000e+20,0.000000000000000e+00
430,320731,Ge73m,1.000000000000000e+20,0.000000000000000e+00
431,320740,Ge74,1.000000000000000e+20,0.000000000000000e+00
432,320750,Ge75,1.000000000000000e+20,0.000000000000000e+00
433,320751,Ge75m,1.000000000000000e+20,0.000000000000000e+00
434,320760,Ge76,1.000000000000000e+20,0.000000000000000e+00
435,320770,Ge77,1.000000000000000e+20,0.000000000000000e+00
436,320771,Ge77m,1.000000000000000e+20,0.000000000000000e+00
437,320780,Ge78,1.000000000000000e+20,0.000000000000000e+00
438,320790,Ge79,1.000000000000000e+20,0.000000000000000e+00
439,320791,Ge79m,1.000000000000000e+20,0.000000000000000e+00
440,320800,Ge80,1.000000000000000e+20,0.000000000000000e+00
441,320810,Ge81,1.000000000000000e+20,0.000000000000000e+00
442,320811,Ge81m,1.000000000000000e+20,0.000000000000000e+00
