entries=2233,dt=1.000000000000000e-02
i,zai,name,n_0,n_dt
0,10010,H1,1.000000000000000e+20,8.175450298827434e+20
1,10020,H2,1.000000000000000e+20,1.000000000000000e+20
2,10030,H3,1.000000000000000e+20,9.999999999821857e+19
3,20030,He3,1.000000000000000e+20,1.000000000017814e+20
4,20040,He4,1.000000000000000e+20,2.622550183071823e+21
5,20060,He6,1.000000000000000e+20,9.914591892472704e+19
6,30050,Li5,1.000000000000000e+20,4.707206872738062e-02
7,30060,Li6,1.000000000000000e+20,1.008540810752730e+20
8,30070,Li7,1.000000000000000e+20,1.000015055234968e+20
9,30080,Li8,1.000000000000000e+20,9.917626683627530e+19
10,30090,Li9,1.000000000000000e+20,9.618706186750889e+19
11,40060,Be6,1.000000000000000e+20,0.000000000000000e+00
12,40070,Be7,1.000000000000000e+20,9.999999984925740e+19
13,40080,Be8,1.000000000000000e+20,6.860835067445262e+04
14,40090,Be9,1.000000000000000e+20,1.019255337569082e+20
15,40100,Be10,1.000000000000000e+20,1.000000000000000e+20
16,40110,Be11,1.000000000000000e+20,9.994982090819738e+19
17,40120,Be12,1.000000000000000e+20,1.444446642657552e+20
18,40130,Be13,1.000000000000000e+20,0.000000000000000e+00
19,50080,B8,1.000000000000000e+20,9.910384846355222e+19
20,50090,B9,1.000000000000000e+20,3.592145149307265e+02
21,50100,B10,1.000000000000000e+20,1.000719836338003e+20
22,50110,B11,1.000000000000000e+20,1.000492408481720e+20
23,50120,B12,1.000000000000000e+20,1.175449494523815e+20
24,50130,B13,1.000000000000000e+20,6.703408524260536e+19
25,50140,B14,1.000000000000000e+20,5.743500250025791e+19
26,50150,B15,1.000000000000000e+20,4.954575516145781e+19
27,60090,C9,1.000000000000000e+20,9.466799195570196e+19
28,60100,C10,1.000000000000000e+20,1.999280163661995e+20
29,60110,C11,1.000000000000000e+20,9.999943287087640e+19
30,60120,C12,1.000000000000000e+20,1.842486365302522e+20
31,60130,C13,1.000000000000000e+20,1.330779100529439e+20
