entries=2233,dt=8.346980000000000e+07
i,zai,name,n_0,n_dt
63,90230,F23,0.000000000000000e+00,0.000000000000000e+00
64,90240,F24,0.000000000000000e+00,0.000000000000000e+00
65,100170,Ne17,0.000000000000000e+00,0.000000000000000e+00
66,100180,Ne18,0.000000000000000e+00,0.000000000000000e+00
67,100190,Ne19,0.000000000000000e+00,0.000000000000000e+00
68,100200,Ne20,0.000000000000000e+00,0.000000000000000e+00
69,100210,Ne21,0.000000000000000e+00,0.000000000000000e+00
70,100220,Ne22,0.000000000000000e+00,0.000000000000000e+00
71,100230,Ne23,0.000000000000000e+00,0.000000000000000e+00
72,100240,Ne24,0.000000000000000e+00,0.000000000000000e+00
73,100250,Ne25,0.000000000000000e+00,0.000000000000000e+00
74,100260,Ne26,0.000000000000000e+00,0.000000000000000e+00
75,100270,Ne27,0.000000000000000e+00,0.000000000000000e+00
76,110200,Na20,0.000000000000000e+00,0.000000000000000e+00
77,110210,Na21,0.000000000000000e+00,0.000000000000000e+00
78,110220,Na22,0.000000000000000e+00,0.000000000000000e+00
79,110230,Na23,0.000000000000000e+00,0.000000000000000e+00
80,110240,Na24,0.000000000000000e+00,0.000000000000000e+00
81,110241,Na24m,0.000000000000000e+00,0.000000000000000e+00
82,110250,Na25,0.000000000000000e+00,0.000000000000000e+00
83,110260,Na26,0.000000000000000e+00,0.000000000000000e+00
84,110270,Na27,0.000000000000000e+00,0.000000000000000e+00
85,110280,Na28,0.000000000000000e+00,0.000000000000000e+00
86,110290,Na29,0.000000000000000e+00,0.000000000000000e+00
87,110300,Na30,0.000000000000000e+00,0.000000000000000e+00
88,120210,Mg21,0.000000000000000e+00,0.000000000000000e+00
89,120220,Mg22,0.000000000000000e+00,0.000000000000000e+00
90,120230,Mg23,0.000000000000000e+00,0.000000000000000e+00
91,120240,Mg24,0.000000000000000e+00,0.000000000000000e+00
92,120250,Mg25,0.000000000000000e+00,0.000000000000000e+00
93,120260,Mg26,0.000000000000000e+00,0.000000000000000e+00
94,120270,Mg27,0.000000000000000e+00,0.000000000000000e+00
95,120280,Mg28,0.000000000000000e+00,0.000000000000000e+00
96,120290,Mg29,0.000000000000000e+00,0.000000000000000e+00
97,120300,Mg30,0.000000000000000e+00,0.000000000000000e+00
98,120310,Mg31,0.000000000000000e+00,0.000000000000000e+00
99,130230,Al23,0.000000000000000e+00,0.000000000000000e+00
100,130240,Al24,0.000000000000000e+00,0.000000000000000e+00
101,130241,Al24m,0.000000000000000e+00,0.000000000000000e+00
102,130250,Al25,0.000000000000000e+00,0.000000000000000e+00
103,130260,Al26,0.000000000000000e+00,0.000000000000000e+00
104,130261,Al26m,0.000000000000000e+00,0.000000000000000e+00
105,130270,Al27,0.000000000000000e+00,0.000000000000000e+00
106,130280,Al28,0.000000000000000e+00,0.000000000000000e+00
107,130290,Al29,0.000000000000000e+00,0.000000000000000e+00
108,130300,Al30,0.000000000000000e+00,0.000000000000000e+00
109,130310,Al31,0.000000000000000e+00,0.000000000000000e+00
110,130320,Al32,0.000000000000000e+00,0.000000000000000e+00
111,130330,Al33,0.000000000000000e+00,0.000000000000000e+00
112,130340,Al34,0.000000000000000e+00,0.000000000000000e+00
113,140250,Si25,0.000000000000000e+00,0.000000000000000e+00
114,140260,Si26,0.000000000000000e+00,0.000000000000000e+00
115,140270,Si27,0.000000000000000e+00,0.000000000000000e+00
116,140280,Si28,0.000000000000000e+00,0.000000000000000e+00
117,140290,Si29,0.000000000000000e+00,0.000000000000000e+00
118,140300,Si30,0.000000000000000e+00,0.000000000000000e+00
119,140310,Si31,0.000000000000000e+00,0.000000000000000e+00
120,140320,Si32,0.000000000000000e+00,0.000000000000000e+00
121,140330,Si33,0.000000000000000e+00,0.000000000000000e+00
122,140340,Si34,0.000000000000000e+00,0.000000000000000e+00
123,140350,Si35,0.000000000000000e+00,0.000000000000000e+00
124,140360,Si36,0.000000000000000e+00,0.000000000000000e+00
125,150280,P28,0.000000000000000e+00,0.000000000000000e+00
126,150290,P29,0.000000000000000e+00,0.000000000000000e+00
127,150300,P30,0.000000000000000e+00,0.000000000000000e+00
128,150310,P31,0.000000000000000e+00,0.000000000000000e+00
129,150320,P32,0.000000000000000e+00,0.000000000000000e+00
130,150330,P33,0.000000000000000e+00,0.000000000000000e+00
131,150340,P34,0.000000000000000e+00,0.000000000000000e+00
132,150350,P35,0.000000000000000e+00,0.000000000000000e+00
133,150360,P36,0.000000000000000e+00,0.000000000000000e+00
134,150370,P37,0.000000000000000e+00,0.000000000000000e+00
135,150380,P38,0.000000000000000e+00,0.000000000000000e+00
136,150390,P39,0.000000000000000e+00,0.000000000000000e+00
137,150400,P40,0.000000000000000e+00,0.000000000000000e+00
138,160290,S29,0.000000000000000e+00,0.000000000000000e+00
139,160300,S30,0.000000000000000e+00,0.000000000000000e+00
140,160310,S31,0.000000000000000e+00,0.000000000000000e+00
141,160320,S32,0.000000000000000e+00,0.000000000000000e+00
142,160330,S33,0.000000000000000e+00,0.000000000000000e+00
143,160340,S34,0.000000000000000e+00,0.000000000000000e+00
144,160350,S35,0.000000000000000e+00,0.000000000000000e+00
145,160360,S36,0.000000000000000e+00,0.000000000000000e+00
146,160370,S37,0.000000000000000e+00,0.000000000000000e+00
147,160380,S38,0.000000000000000e+00,0.000000000000000e+00
148,160390,S39,0.000000000000000e+00,0.000000000000000e+00
149,160400,S40,0.000000000000000e+00,0.000000000000000e+00
150,160410,S41,0.000000000000000e+00,0.000000000000000e+00
151,170320,Cl32,0.000000000000000e+00,0.000000000000000e+00
152,170330,Cl33,0.000000000000000e+00,0.000000000000000e+00
153,170340,Cl34,0.000000000000000e+00,0.000000000000000e+00
154,170341,Cl34m,0.000000000000000e+00,0.000000000000000e+00
155,170350,Cl35,0.000000000000000e+00,0.000000000000000e+00
156,170360,Cl36,0.000000000000000e+00,0.000000000000000e+00
157,170370,Cl37,0.000000000000000e+00,0.000000000000000e+00
158,170380,Cl38,0.000000000000000e+00,0.000000000000000e+00
159,170381,Cl38m,0.000000000000000e+00,0.000000000000000e+00
160,170390,Cl39,0.000000000000000e+00,0.000000000000000e+00
161,170400,Cl40,0.000000000000000e+00,0.000000000000000e+00
162,170410,Cl41,0.000000000000000e+00,0.000000000000000e+00
163,170420,Cl42,0.000000000000000e+00,0.000000000000000e+00
164,170430,Cl43,0.000000000000000e+00,0.000000000000000e+00
165,170440,Cl44,0.000000000000000e+00,0.000000000000000e+00
166,170450,Cl45,0.000000000000000e+00,0.000000000000000e+00
167,180330,Ar33,0.000000000000000e+00,0.000000000000000e+00
168,180340,Ar34,0.000000000000000e+00,0.000000000000000e+00
169,180350,Ar35,0.000000000000000e+00,0.000000000000000e+00
170,180360,Ar36,0.000000000000000e+00,0.000000000000000e+00
171,180370,Ar37,0.000000000000000e+00,0.000000000000000e+00
172,180380,Ar38,0.000000000000000e+00,0.000000000000000e+00
173,180390,Ar39,0.000000000000000e+00,0.000000000000000e+00
174,180400,Ar40,0.000000000000000e+00,0.000000000000000e+00
175,180410,Ar41,0.000000000000000e+00,0.000000000000000e+00
176,180420,Ar42,0.000000000000000e+00,0.000000000000000e+00
177,180430,Ar43,0.000000000000000e+00,0.000000000000000e+00
178,180440,Ar44,0.000000000000000e+00,0.000000000000000e+00
179,180450,Ar45,0.000000000000000e+00,0.000000000000000e+00
180,180460,Ar46,0.000000000000000e+00,0.000000000000000e+00
181,180470,Ar47,0.000000000000000e+00,0.000000000000000e+00
182,190360,K36,0.000000000000000e+00,0.000000000000000e+00
183,190370,K37,0.000000000000000e+00,0.000000000000000e+00
184,190380,K38,0.000000000000000e+00,0.000000000000000e+00
185,190381,K38m,0.000000000000000e+00,0.000000000000000e+00
186,190390,K39,0.000000000000000e+00,0.000000000000000e+00
187,190400,K40,0.000000000000000e+00,0.000000000000000e+00
188,190410,K41,0.000000000000000e+00,0.000000000000000e+00
189,190420,K42,0.000000000000000e+00,0.000000000000000e+00
190,190430,K43,0.000000000000000e+00,0.000000000000000e+00
191,190440,K44,0.000000000000000e+00,0.000000000000000e+00
192,190450,K45,0.000000000000000e+00,0.000000000000000e+00
193,190460,K46,0.000000000000000e+00,0.000000000000000e+00
194,190470,K47,0.000000000000000e+00,0.000000000000000e+00
195,190480,K48,0.000000000000000e+00,0.000000000000000e+00
196,200370,Ca37,0.000000000000000e+00,0.000000000000000e+00
197,200380,Ca38,0.000000000000000e+00,0.000000000000000e+00
198,200390,Ca39,0.000000000000000e+00,0.000000000000000e+00
199,200400,Ca40,0.000000000000000e+00,0.000000000000000e+00
200,200410,Ca41,0.000000000000000e+00,0.000000000000000e+00
201,200420,Ca42,0.000000000000000e+00,0.000000000000000e+00
202,200430,Ca43,0.000000000000000e+00,0.000000000000000e+00
203,200440,Ca44,0.000000000000000e+00,0.000000000000000e+00
204,200450,Ca45,0.000000000000000e+00,0.000000000000000e+00
205,200460,Ca46,0.000000000000000e+00,0.000000000000000e+00
206,200470,Ca47,0.000000000000000e+00,0.000000000000000e+00
207,200480,Ca48,0.000000000000000e+00,0.000000000000000e+00
208,200490,Ca49,0.000000000000000e+00,0.000000000000000e+00
209,210400,Sc40,0.000000000000000e+00,0.000000000000000e+00
210,210410,Sc41,0.000000000000000e+00,0.000000000000000e+00
211,210420,Sc42,0.000000000000000e+00,0.000000000000000e+00
212,210421,Sc42m,0.000000000000000e+00,0.000000000000000e+00
213,210430,Sc43,0.000000000000000e+00,0.000000000000000e+00
214,210440,Sc44,0.000000000000000e+00,0.000000000000000e+00
215,210441,Sc44m,0.000000000000000e+00,0.000000000000000e+00
216,210450,Sc45,0.000000000000000e+00,0.000000000000000e+00
217,210451,Sc45m,0.000000000000000e+00,0.000000000000000e+00
218,210460,Sc46,0.000000000000000e+00,0.000000000000000e+00
219,210461,Sc46m,0.000000000000000e+00,0.000000000000000e+00
220,210470,Sc47,0.000000000000000e+00,0.000000000000000e+00
221,210480,Sc48,0.000000000000000e+00,0.000000000000000e+00
222,210490,Sc49,0.000000000000000e+00,0.000000000000000e+00
223,210500,Sc50,0.000000000000000e+00,0.000000000000000e+00
224,210501,Sc50m,0.000000000000000e+00,0.000000000000000e+00
225,210510,Sc51,0.000000000000000e+00,0.000000000000000e+00
226,210520,Sc52,0.000000000000000e+00,0.000000000000000e+00
227,220410,Ti41,0.000000000000000e+00,0.000000000000000e+00
228,220420,Ti42,0.000000000000000e+00,0.000000000000000e+00
229,220430,Ti43,0.000000000000000e+00,0.000000000000000e+00
230,220440,Ti44,0.000000000000000e+00,0.000000000000000e+00
231,220450,Ti45,0.000000000000000e+00,0.000000000000000e+00
232,220460,Ti46,0.000000000000000e+00,0.000000000000000e+00
233,220470,Ti47,0.000000000000000e+00,0.000000000000000e+00
234,220480,Ti48,0.000000000000000e+00,0.000000000000000e+00
235,220490,Ti49,0.000000000000000e+00,0.000000000000000e+00
236,220500,Ti50,0.000000000000000e+00,0.000000000000000e+00
237,220510,Ti51,0.000000000000000e+00,0.000000000000000e+00
238,220520,Ti52,0.000000000000000e+00,0.000000000000000e+00
239,220530,Ti53,0.000000000000000e+00,0.000000000000000e+00
240,220540,Ti54,0.000000000000000e+00,0.000000000000000e+00
241,220550,Ti55,0.000000000000000e+00,0.000000000000000e+00
242,230440,V44,0.000000000000000e+00,0.000000000000000e+00
243,230450,V45,0.000000000000000e+00,0.000000000000000e+00
244,230460,V46,0.000000000000000e+00,0.000000000000000e+00
245,230470,V47,0.000000000000000e+00,0.000000000000000e+00
246,230480,V48,0.000000000000000e+00,0.000000000000000e+00
247,230490,V49,0.000000000000000e+00,0.000000000000000e+00
248,230500,V50,0.000000000000000e+00,0.000000000000000e+00
249,230510,V51,0.000000000000000e+00,0.000000000000000e+00
250,230520,V52,0.000000000000000e+00,0.000000000000000e+00
251,230530,V53,0.000000000000000e+00,0.000000000000000e+00
252,230540,V54,0.000000000000000e+00,0.000000000000000e+00
