entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
42,70170,N17,1.000000000000000e+20,0.000000000000000e+00
43,70180,N18,1.000000000000000e+20,3.887395505916644e-35
44,70190,N19,1.000000000000000e+20,0.000000000000000e+00
45,70200,N20,1.000000000000000e+20,0.000000000000000e+00
46,80140,O14,1.000000000000000e+20,0.000000000000000e+00
47,80150,O15,1.000000000000000e+20,1.595985193360482e-22
48,80160,O16,1.000000000000000e+20,4.895141440000000e+20
49,80170,O17,1.000000000000000e+20,2.098799999999994e+20
50,80180,O18,1.000000000000000e+20,4.545946474527436e+20
51,80190,O19,1.000000000000000e+20,6.972001364770632e-24
52,80200,O20,1.000000000000000e+20,1.194891891939103e-30
53,80210,O21,1.000000000000000e+20,1.999169967016350e-39
54,80220,O22,1.000000000000000e+20,3.480626709617982e-38
55,90150,F15,1.000000000000000e+20,0.000000000000000e+00
56,90160,F16,1.000000000000000e+20,0.000000000000000e+00
57,90170,F17,1.000000000000000e+20,3.271971905110452e-23
58,90180,F18,1.000000000000000e+20,5.352547256931157e+15
59,90190,F19,1.000000000000000e+20,4.023999999999991e+20
60,90200,F20,1.000000000000000e+20,7.448400194149286e-30
61,90210,F21,1.000000000000000e+20,1.494111047481945e-36
62,90220,F22,1.000000000000000e+20,3.460169514358426e-37
63,90230,F23,1.000000000000000e+20,3.174346950361929e-38
64,90240,F24,1.000000000000000e+20,0.000000000000000e+00
65,100170,Ne17,1.000000000000000e+20,8.572035750112189e-54
66,100180,Ne18,1.000000000000000e+20,2.654979356684779e-38
67,100190,Ne19,1.000000000000000e+20,0.000000000000000e+00
68,100200,Ne20,1.000000000000000e+20,4.722999999999988e+20
69,100210,Ne21,1.000000000000000e+20,4.927000000000012e+20
70,100220,Ne22,1.000000000000000e+20,2.781754587702291e+20
71,100230,Ne23,1.000000000000000e+20,2.299844047653237e-20
72,100240,Ne24,1.000000000000000e+20,0.000000000000000e+00
73,100250,Ne25,1.000000000000000e+20,0.000000000000000e+00
74,100260,Ne26,1.000000000000000e+20,0.000000000000000e+00
75,100270,Ne27,1.000000000000000e+20,0.000000000000000e+00
76,110200,Na20,1.000000000000000e+20,0.000000000000000e+00
77,110210,Na21,1.000000000000000e+20,0.000000000000000e+00
78,110220,Na22,1.000000000000000e+20,2.078245412297705e+20
79,110230,Na23,1.000000000000000e+20,4.919999999999995e+20
80,110240,Na24,1.000000000000000e+20,1.104810124183637e+20
81,110241,Na24m,1.000000000000000e+20,0.000000000000000e+00
82,110250,Na25,1.000000000000000e+20,4.506512024812515e-23
83,110260,Na26,1.000000000000000e+20,0.000000000000000e+00
84,110270,Na27,1.000000000000000e+20,3.909720563275100e-42
85,110280,Na28,1.000000000000000e+20,0.000000000000000e+00
86,110290,Na29,1.000000000000000e+20,6.047132105637089e-73
87,110300,Na30,1.000000000000000e+20,0.000000000000000e+00
88,120210,Mg21,1.000000000000000e+20,0.000000000000000e+00
89,120220,Mg22,1.000000000000000e+20,2.108456641203452e-37
90,120230,Mg23,1.000000000000000e+20,0.000000000000000e+00
91,120240,Mg24,1.000000000000000e+20,5.895189875816366e+20
92,120250,Mg25,1.000000000000000e+20,4.999999999999997e+20
93,120260,Mg26,1.000000000000000e+20,5.019598553064679e+20
94,120270,Mg27,1.000000000000000e+20,0.000000000000000e+00
95,120280,Mg28,1.000000000000000e+20,9.037884900078735e+19
96,120290,Mg29,1.000000000000000e+20,0.000000000000000e+00
97,120300,Mg30,1.000000000000000e+20,0.000000000000000e+00
98,120310,Mg31,1.000000000000000e+20,0.000000000000000e+00
99,130230,Al23,1.000000000000000e+20,0.000000000000000e+00
100,130240,Al24,1.000000000000000e+20,0.000000000000000e+00
101,130241,Al24m,1.000000000000000e+20,0.000000000000000e+00
102,130250,Al25,1.000000000000000e+20,0.000000000000000e+00
103,130260,Al26,1.000000000000000e+20,1.000401912935309e+20
104,130261,Al26m,1.000000000000000e+20,0.000000000000000e+00
105,130270,Al27,1.000000000000000e+20,4.979999999999999e+20
106,130280,Al28,1.000000000000000e+20,1.618035105885114e+17
107,130290,Al29,1.000000000000000e+20,3.960028440023839e-18
